TEST IMAGE NO:,OGP,FP,IP,HP
1,36,23,8,8
2,12,9,3,3
3,30,30,10,14
4,169,195,71,78
5,378,168,42,42
6,70,91,34,32
7,304,384,238,195
8,148,110,34,43
9,424,308,96,126
10,120,71,12,22
11,16,16,7,7
12,207,92,19,22
13,187,81,25,21
14,75,56,18,23
15,68,54,18,25
16,60,33,6,12
17,62,37,15,11
18,71,57,16,28
19,72,53,20,20
20,25,16,6,5
21,21,10,1,2
22,20,11,4,5
23,43,19,6,2
24,59,24,6,5
25,104,49,6,13
26,17,23,9,6
27,28,25,10,9
28,36,48,16,18
29,25,37,25,18
30,21,24,13,16
31,65,49,10,28
32,41,30,8,15
33,98,127,81,58
34,77,53,18,18
35,107,78,34,31
36,11,11,6,2
37,16,21,4,11
38,48,51,17,16
39,32,38,12,14
40,25,30,14,10
41,27,33,11,14
42,48,22,7,2
43,113,50,13,16
44,65,29,7,9
45,28,12,1,5
46,72,33,2,12
47,60,28,10,6
48,27,14,6,4
49,34,13,2,5
50,26,26,10,9
51,17,23,8,9
52,27,33,12,13
53,29,30,12,13
54,64,82,50,27
55,39,59,32,29
56,14,20,13,10
57,30,31,24,15
58,59,75,46,33
59,9,13,7,9
60,64,77,51,36
61,39,44,27,22
62,21,24,11,14
63,31,36,24,13
64,36,23,7,9
65,26,25,7,9
66,42,34,12,11
67,48,36,10,10
68,60,43,14,15
69,54,44,12,20
70,48,35,13,11
71,53,38,13,12
72,36,29,9,11
73,116,80,31,25
74,31,21,6,9
75,48,34,3,23
76,104,73,26,23
77,44,29,13,7
78,45,28,0,10
79,45,25,5,6
80,43,27,5,10
81,67,39,9,12
82,30,18,3,8
83,30,18,8,3
84,28,18,0,6
85,29,20,0,7
86,29,16,7,2
87,28,14,5,5
88,29,14,6,4
89,31,15,2,6
90,28,17,5,3
91,42,27,6,9
92,38,16,0,6
93,68,32,8,7
94,33,12,4,1
95,44,22,5,5
96,24,10,3,3
97,29,15,6,2
98,25,13,5,6
99,51,21,12,2
100,70,28,13,4
101,64,26,8,7
102,26,11,2,1
103,45,22,6,6
104,30,13,4,3
105,34,23,7,10
106,34,23,8,8
107,35,28,10,10
108,35,26,8,11
109,44,33,11,12
110,45,32,10,14
111,45,31,11,10
112,46,36,11,15
113,33,25,6,12
114,35,26,6,13
115,35,27,9,12
116,35,27,11,9
117,36,28,9,13
118,28,15,2,6
119,44,27,6,9
120,60,33,6,12
121,29,18,6,6
122,33,19,9,5
123,29,15,8,4
124,29,19,3,8
125,47,29,11,9
126,28,21,6,10
127,28,22,6,12
128,24,18,6,9
129,28,20,5,10
130,29,24,5,13
131,29,25,8,12
132,28,19,6,5
133,39,30,12,9
134,39,30,13,12
135,25,19,7,5
136,31,19,0,7
137,51,29,7,9
138,41,20,5,5
139,23,14,5,5
140,24,18,6,5
141,30,20,8,6
142,29,19,8,6
143,31,23,7,9
144,18,12,5,4
145,42,33,9,15
146,282,315,218,173
147,103,76,24,25
148,45,24,9,6
149,102,45,9,15
150,57,45,13,22
